Tool ,Cutting speed (V),Feed (F),Depth of Cut (D),a,(F) ^ a,b,(D) ^ b,V * Fa * Db,RHS,n,1/n,Tool Life (min),Tool failure (min)
1,1000,0.14,0.21,0.6,0.30738086,0.15,0.791284929,243.2258421,4.160742096,0.33,3.03030303,75.20992266,67.72
2,1000,0.12,0.2,0.6,0.280226206,0.15,0.78551503,220.121897,4.597452655,0.33,3.03030303,101.7719457,92.16
3,1000,0.19,0.26,0.6,0.369191897,0.15,0.817045048,301.6464112,3.354921399,0.33,3.03030303,39.17209665,29.46
4,1000,0.2,0.25,0.6,0.380730788,0.15,0.812252396,309.2494947,3.272438653,0.33,3.03030303,36.32592722,33.87
5,1200,0.12,0.22,0.6,0.280226206,0.15,0.796825827,267.9497744,3.776827214,0.33,3.03030303,56.08801246,49.87
6,900,0.11,0.19,0.6,0.265971811,0.15,0.779494473,186.5912013,5.423621227,0.33,3.03030303,167.9265045,162.77
7,900,0.17,0.19,0.6,0.345357867,0.15,0.779494473,242.2840934,4.176914737,0.33,3.03030303,76.09929557,72.84
8,700,0.14,0.28,0.6,0.30738086,0.15,0.826178149,177.7659451,5.692878911,0.33,3.03030303,194.4843618,193.71
9,1100,0.11,0.31,0.6,0.265971811,0.15,0.838888526,245.4327708,4.12332875,0.33,3.03030303,73.17921798,70.21
10,1000,0.12,0.2,0.6,0.280226206,0.15,0.78551503,220.121897,4.597452655,0.33,3.03030303,101.7719457,92.2
11,1000,0.19,0.27,0.6,0.369191897,0.15,0.821683497,303.358889,3.335982681,0.33,3.03030303,38.50584233,35.33
12,800,0.11,0.2,0.6,0.265971811,0.15,0.78551503,167.1398844,6.054808544,0.33,3.03030303,234.4235605,233.75
13,1200,0.11,0.3,0.6,0.265971811,0.15,0.834772605,266.4311782,3.798354257,0.33,3.03030303,57.06238248,51.19
14,1100,0.12,0.22,0.6,0.280226206,0.15,0.796825827,245.6206266,4.120175142,0.33,3.03030303,73.00974661,64.72
15,700,0.17,0.26,0.6,0.345357867,0.15,0.817045048,197.5210543,5.123504447,0.33,3.03030303,141.3199211,133
16,1200,0.18,0.19,0.6,0.357407369,0.15,0.779494473,334.3164829,3.027071807,0.33,3.03030303,28.68432377,24.66
17,1000,0.11,0.28,0.6,0.265971811,0.15,0.826178149,219.740099,4.605440722,0.33,3.03030303,102.3087356,95.39
18,1100,0.2,0.23,0.6,0.380730788,0.15,0.802156626,335.9462967,3.012386236,0.33,3.03030303,28.26470179,27.32
19,900,0.19,0.22,0.6,0.369191897,0.15,0.796825827,264.7634748,3.822279493,0.33,3.03030303,58.15853466,48.23
20,1000,0.2,0.26,0.6,0.380730788,0.15,0.817045048,311.0742048,3.253243067,0.33,3.03030303,35.68406169,29.19
21,1200,0.13,0.26,0.6,0.294012647,0.15,0.817045048,288.2658923,3.510647728,0.33,3.03030303,44.94575137,41.6
22,800,0.15,0.23,0.6,0.32037215,0.15,0.802156626,205.5909143,4.922396516,0.33,3.03030303,125.1713201,115.25
23,900,0.12,0.22,0.6,0.280226206,0.15,0.796825827,200.9623308,5.035769618,0.33,3.03030303,134.113434,129.29
24,800,0.13,0.29,0.6,0.294012647,0.15,0.830538367,195.3510267,5.180418128,0.33,3.03030303,146.1308337,140.52
25,800,0.15,0.27,0.6,0.32037215,0.15,0.821683497,210.5956067,4.805418383,0.33,3.03030303,116.3729752,112.35
26,1000,0.19,0.2,0.6,0.369191897,0.15,0.78551503,290.0057841,3.489585572,0.33,3.03030303,44.1335894,40.32
27,900,0.18,0.31,0.6,0.357407369,0.15,0.838888526,269.8424471,3.75033658,0.33,3.03030303,54.9043565,50.28
28,1000,0.1,0.23,0.6,0.251188643,0.15,0.802156626,201.4926346,5.022516094,0.33,3.03030303,133.0466831,126.1
29,1200,0.12,0.29,0.6,0.280226206,0.15,0.830538367,279.2863391,3.623521305,0.33,3.03030303,49.46930576,40.17
30,1200,0.2,0.29,0.6,0.380730788,0.15,0.830538367,379.4538321,2.666991118,0.33,3.03030303,19.54224495,14.71
31,800,0.11,0.26,0.6,0.265971811,0.15,0.817045048,173.8487612,5.821151633,0.33,3.03030303,208.0696923,202.33
32,1200,0.1,0.25,0.6,0.251188643,0.15,0.812252396,244.8342928,4.1334079,0.33,3.03030303,73.72262721,71.73
33,800,0.16,0.23,0.6,0.333021283,0.15,0.802156626,213.7081831,4.735429339,0.33,3.03030303,111.3123923,104.86
34,1000,0.2,0.26,0.6,0.380730788,0.15,0.817045048,311.0742048,3.253243067,0.33,3.03030303,35.68406169,27.22
35,800,0.19,0.19,0.6,0.369191897,0.15,0.779494473,230.2264345,4.39567247,0.33,3.03030303,88.83039439,83.92
36,1200,0.2,0.27,0.6,0.380730788,0.15,0.821683497,375.4082462,2.695731941,0.33,3.03030303,20.18742483,10.33
37,1200,0.2,0.19,0.6,0.380730788,0.15,0.779494473,356.1330537,2.841634579,0.33,3.03030303,23.68367967,15.98
38,800,0.13,0.26,0.6,0.294012647,0.15,0.817045048,192.1772616,5.265971592,0.33,3.03030303,153.5672195,151.65
39,1200,0.13,0.24,0.6,0.294012647,0.15,0.807293929,284.8255494,3.553052043,0.33,3.03030303,46.61112686,41.37
40,900,0.1,0.3,0.6,0.251188643,0.15,0.834772605,188.7168582,5.362530988,0.33,3.03030303,162.2600331,153.93
41,800,0.11,0.2,0.6,0.265971811,0.15,0.78551503,167.1398844,6.054808544,0.33,3.03030303,234.4235605,227.48
42,1100,0.15,0.3,0.6,0.32037215,0.15,0.834772605,294.1816834,3.44005102,0.33,3.03030303,42.26240359,36.89
43,700,0.11,0.27,0.6,0.265971811,0.15,0.821683497,152.9812537,6.615189609,0.33,3.03030303,306.5432859,304.2
44,700,0.14,0.26,0.6,0.30738086,0.15,0.817045048,175.8008067,5.756515109,0.33,3.03030303,201.1472445,191.61
45,900,0.17,0.25,0.6,0.345357867,0.15,0.812252396,252.4659793,4.008460875,0.33,3.03030303,67.17458573,63.57
46,1000,0.2,0.2,0.6,0.380730788,0.15,0.78551503,299.0697562,3.383825943,0.33,3.03030303,40.20376395,38.17
47,1200,0.18,0.26,0.6,0.357407369,0.15,0.817045048,350.4215056,2.887950607,0.33,3.03030303,24.87290717,20.57
48,900,0.12,0.28,0.6,0.280226206,0.15,0.826178149,208.3650918,4.856859617,0.33,3.03030303,120.1891615,117.5
49,700,0.2,0.28,0.6,0.380730788,0.15,0.826178149,220.1860204,4.596113769,0.33,3.03030303,101.682159,100.08
50,1100,0.12,0.29,0.6,0.280226206,0.15,0.830538367,256.0124775,3.952932333,0.33,3.03030303,64.39417836,60.05
51,1200,0.16,0.25,0.6,0.333021283,0.15,0.812252396,324.5968021,3.117714017,0.33,3.03030303,31.36704177,26.11
52,1000,0.2,0.25,0.6,0.380730788,0.15,0.812252396,309.2494947,3.272438653,0.33,3.03030303,36.32592722,30.19
53,1200,0.18,0.21,0.6,0.357407369,0.15,0.791284929,339.373278,2.981967248,0.33,3.03030303,27.40863973,17.89
54,1000,0.2,0.24,0.6,0.380730788,0.15,0.807293929,307.3616533,3.292538249,0.33,3.03030303,37.00626368,31.16
55,1000,0.17,0.21,0.6,0.345357867,0.15,0.791284929,273.276475,3.70320936,0.33,3.03030303,52.84019855,47.29
56,1200,0.16,0.29,0.6,0.333021283,0.15,0.830538367,331.9043431,3.049071279,0.33,3.03030303,29.32070958,24.03
57,1100,0.1,0.28,0.6,0.251188643,0.15,0.826178149,228.2792252,4.433167316,0.33,3.03030303,91.14645153,90.62
58,700,0.18,0.19,0.6,0.357407369,0.15,0.779494473,195.0179484,5.189265955,0.33,3.03030303,146.8884556,139.31
59,1000,0.1,0.23,0.6,0.251188643,0.15,0.802156626,201.4926346,5.022516094,0.33,3.03030303,133.0466831,125.69
60,900,0.12,0.25,0.6,0.280226206,0.15,0.812252396,204.852967,4.940128596,0.33,3.03030303,126.5427108,123.22
61,1200,0.15,0.2,0.6,0.32037215,0.15,0.78551503,301.9885667,3.351120246,0.33,3.03030303,39.03775947,35.03
62,900,0.11,0.27,0.6,0.265971811,0.15,0.821683497,196.6901833,5.145147474,0.33,3.03030303,143.1366972,136.33
63,700,0.16,0.3,0.6,0.333021283,0.15,0.834772605,194.5979307,5.200466399,0.33,3.03030303,147.8512959,143.38
64,800,0.13,0.23,0.6,0.294012647,0.15,0.802156626,188.6753541,5.363710617,0.33,3.03030303,162.3682188,160.71
65,1100,0.16,0.2,0.6,0.333021283,0.15,0.78551503,287.7525455,3.516910679,0.33,3.03030303,45.18916939,40.64
66,1200,0.17,0.31,0.6,0.345357867,0.15,0.838888526,347.6601018,2.910889098,0.33,3.03030303,25.47641779,17.51
67,700,0.12,0.21,0.6,0.280226206,0.15,0.791284929,155.2171418,6.519898438,0.33,3.03030303,293.3570006,285.6
68,1100,0.15,0.19,0.6,0.32037215,0.15,0.779494473,274.701152,3.68400348,0.33,3.03030303,52.01412636,46.09
69,700,0.18,0.23,0.6,0.357407369,0.15,0.802156626,200.6876828,5.042661243,0.33,3.03030303,134.6703854,128.37
70,700,0.15,0.21,0.6,0.32037215,0.15,0.791284929,177.4539577,5.702887742,0.33,3.03030303,195.522361,191.19
71,900,0.17,0.27,0.6,0.345357867,0.15,0.821683497,255.3973736,3.96245265,0.33,3.03030303,64.86529248,55.9
72,900,0.16,0.24,0.6,0.333021283,0.15,0.807293929,241.9614538,4.182484375,0.33,3.03030303,76.40720703,68.7
73,1100,0.11,0.28,0.6,0.265971811,0.15,0.826178149,241.7141089,4.186764292,0.33,3.03030303,76.64438399,71.44
74,1200,0.18,0.27,0.6,0.357407369,0.15,0.821683497,352.4108847,2.871647965,0.33,3.03030303,24.44985906,15.25
75,700,0.15,0.2,0.6,0.32037215,0.15,0.78551503,176.1599972,5.744777565,0.33,3.03030303,199.9069681,193.69
76,900,0.12,0.28,0.6,0.280226206,0.15,0.826178149,208.3650918,4.856859617,0.33,3.03030303,120.1891615,115.56
77,1100,0.12,0.31,0.6,0.280226206,0.15,0.838888526,258.5864041,3.913585494,0.33,3.03030303,62.47140735,60.51
78,1200,0.11,0.24,0.6,0.265971811,0.15,0.807293929,257.6609142,3.927642666,0.33,3.03030303,63.15386092,58.13
79,1100,0.2,0.31,0.6,0.380730788,0.15,0.838888526,351.3297581,2.880484721,0.33,3.03030303,24.67856636,23.39
80,1200,0.18,0.3,0.6,0.357407369,0.15,0.834772605,358.024657,2.826620961,0.33,3.03030303,23.30652368,21.69
81,800,0.12,0.29,0.6,0.280226206,0.15,0.830538367,186.1908928,5.435281957,0.33,3.03030303,169.0229555,162.98
82,900,0.16,0.19,0.6,0.333021283,0.15,0.779494473,233.6294245,4.331646162,0.33,3.03030303,84.96722495,78.53
83,1000,0.1,0.28,0.6,0.251188643,0.15,0.826178149,207.5265684,4.876484047,0.33,3.03030303,121.6668166,114.26
84,1000,0.1,0.31,0.6,0.251188643,0.15,0.838888526,210.7192705,4.802598252,0.33,3.03030303,116.1661433,114.41
85,1000,0.17,0.29,0.6,0.345357867,0.15,0.830538367,286.8329586,3.5281859,0.33,3.03030303,45.62961963,37.31
86,1200,0.17,0.3,0.6,0.345357867,0.15,0.834772605,345.9543431,2.925241496,0.33,3.03030303,25.85897398,18.15
87,900,0.19,0.2,0.6,0.369191897,0.15,0.78551503,261.0052057,3.877317302,0.33,3.03030303,60.7335004,55.95
88,1100,0.17,0.29,0.6,0.345357867,0.15,0.830538367,315.5162544,3.207441727,0.33,3.03030303,34.18333799,26.62
89,1200,0.2,0.21,0.6,0.380730788,0.15,0.791284929,361.5198413,2.799293108,0.33,3.03030303,22.63039034,15.43
90,800,0.11,0.23,0.6,0.265971811,0.15,0.802156626,170.6808408,5.929195073,0.33,3.03030303,219.9942503,213.41
91,1000,0.18,0.28,0.6,0.357407369,0.15,0.826178149,295.2821591,3.427230426,0.33,3.03030303,41.78691574,40.09
92,700,0.19,0.29,0.6,0.369191897,0.15,0.830538367,214.6396247,4.714879657,0.33,3.03030303,109.8550528,108.6
93,1100,0.2,0.26,0.6,0.380730788,0.15,0.817045048,342.1816253,2.957493697,0.33,3.03030303,26.73264322,23.81
94,1000,0.11,0.3,0.6,0.265971811,0.15,0.834772605,222.0259819,4.558025108,0.33,3.03030303,99.15008031,94.93
95,1000,0.18,0.21,0.6,0.357407369,0.15,0.791284929,282.811065,3.578360698,0.33,3.03030303,47.62452446,39.93
96,1000,0.19,0.25,0.6,0.369191897,0.15,0.812252396,299.877003,3.374716933,0.33,3.03030303,39.87670306,38.46
97,800,0.19,0.19,0.6,0.369191897,0.15,0.779494473,230.2264345,4.39567247,0.33,3.03030303,88.83039439,82.3
98,700,0.16,0.22,0.6,0.333021283,0.15,0.796825827,185.7519714,5.448125219,0.33,3.03030303,170.2361386,162.38
99,800,0.19,0.27,0.6,0.369191897,0.15,0.821683497,242.6871112,4.169978351,0.33,3.03030303,75.71698883,73.33
100,700,0.1,0.19,0.6,0.251188643,0.15,0.779494473,137.0601113,7.383621612,0.33,3.03030303,427.6805422,417.89
101,700,0.15,0.22,0.6,0.32037215,0.15,0.796825827,178.6965622,5.6632315,0.33,3.03030303,191.4313559,187.99
